streetAddress,city,borough,state,postalcode,full_address,beds,baths,size_sqft,size_sqft_int,unit,size_sqft_2,size_sqft_2_int,unit_2,price,walk_score,bike_score,price_num,crime_rate,complaint_rate
604 Sackman St,Brooklyn,queens,NY,11212,"604 Sackman St, Brooklyn, NY 11212",2,1,"
 1,742 sqft lot",1742,sqftlot,"
",,,"$300,000 ",44,58,300000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
1164 Lenox Rd,Brooklyn,queens,NY,11212,"1164 Lenox Rd, Brooklyn, NY 11212",8,5.5,"
 3,198 sqft",3198,sqft,"
 2,500 sqft lot",2500,sqftlot,"$750,000 ",44,58,750000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
486 E 95th St,Brooklyn,queens,NY,11212,"486 E 95th St, Brooklyn, NY 11212",8,4,"
 3,608 sqft",3608,sqft,"
 3,000 sqft lot",3000,sqftlot,"$490,000 ",44,58,490000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
591 Powell St,Brooklyn,queens,NY,11212,"591 Powell St, Brooklyn, NY 11212",4,1.5,"
 1,148 sqft",1148,sqft,"
 1,800 sqft lot",1800,sqftlot,"$525,000 ",44,58,525000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
Withheld St,Brooklyn,queens,NY,11212,"Withheld St, Brooklyn, NY 11212",3,1,"
 1,400 sqft",1400,sqft,"
 2,000 sqft lot",2000,sqftlot,"$465,000 ",44,58,465000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
,Brooklyn,queens,NY,11212,", Brooklyn, NY 11212",10,3.5,"
 2,600 sqft lot",2600,sqftlot,"
",,,"$675,000 ",44,58,675000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
1166 E New York Ave,Brooklyn,queens,NY,11212,"1166 E New York Ave, Brooklyn, NY 11212",7,5,"
 3,280 sqft",3280,sqft,"
 2,731 sqft lot",2731,sqftlot,"$988,000 ",44,58,988000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
526 Thomas S Boyland St,Brooklyn,queens,NY,11212,"526 Thomas S Boyland St, Brooklyn, NY 11212",3,1.5,"
 1,340 sqft",1340,sqft,"
 2,000 sqft lot",2000,sqftlot,"$419,900 ",44,58,419900,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
,Brooklyn,queens,NY,11212,", Brooklyn, NY 11212",16,10,"
 6,375 sqft",6375,sqft,"
 2,500 sqft lot",2500,sqftlot,"$1,788,000 ",44,58,1788000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
199 E 95th St,Brooklyn,queens,NY,11212,"199 E 95th St, Brooklyn, NY 11212",7,4,"
 3,250 sqft lot",3250,sqftlot,"
",,,"$1,075,000 ",44,58,1075000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
199 E 95th St,Brooklyn,queens,NY,11212,"199 E 95th St, Brooklyn, NY 11212",7,4,"
 3,250 sqft lot",3250,sqftlot,"
 yes car",,,"$1,075,000 ",44,58,1075000,5.882352941,2.722398195
,,,,,,,,,,,,,,,,,,,
421 Herzl St,Brownville,queens,NY,11212,"421 Herzl St, Brownville, NY 11212",8,4,"
 2,500 sqft lot",2500,sqftlot,"
",,,"$579,000 ",44,58,579000,5.882352941,2.722398195
